epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.1164897084236145,0.6397482752799988,0.0010000000474974513,0.4752958416938782,0.07301118224859238,0.005599158350378275,0.0990050658583641,0.7450515627861023,0.3735477328300476,0.0,0.0
1,0.11149167269468307,0.6758572459220886,0.0010000000474974513,0.3706037402153015,0.14919355511665344,0.0011975078377872705,0.0990661084651947,0.7547750473022461,0.3455826938152313,0.0,0.0
2,0.10585936903953552,0.7143303751945496,0.0010000000474974513,0.33215102553367615,0.0,0.0,0.09399987757205963,0.7267247438430786,0.32914477586746216,0.0,0.0
3,0.10728012770414352,0.7400943040847778,0.0010000000474974513,0.3210028409957886,0.3636363744735718,6.473015673691407e-05,0.0989440307021141,0.7703002691268921,0.31879064440727234,0.0,0.0
4,0.10681077092885971,0.7553142309188843,0.0010000000474974513,0.31695955991744995,0.5,0.00014564285811502486,0.0989440307021141,0.7461168766021729,0.3209359347820282,0.0,0.0
5,0.10483185201883316,0.7586219310760498,0.0010000000474974513,0.31599006056785583,0.4324324429035187,0.0002589206269476563,0.0989440307021141,0.7617823481559753,0.31807756423950195,0.0,0.0
6,0.105022132396698,0.7662003636360168,0.0010000000474974513,0.31470999121665955,0.4166666567325592,0.0012136903824284673,0.0989440307021141,0.7508875131607056,0.3188149631023407,0.0,0.0
7,0.10480648279190063,0.7719944715499878,0.0010000000474974513,0.31357377767562866,0.41735535860061646,0.0016344364266842604,0.08606482297182083,0.7438241839408875,0.3259473741054535,0.0,0.0
8,0.10901802778244019,0.7751559615135193,0.0010000000474974513,0.3129630386829376,0.3753581643104553,0.0021199125330895185,0.0990050658583641,0.7753916382789612,0.31465762853622437,1.0,7.631257903994992e-05
9,0.11237964779138565,0.7770945429801941,0.0010000000474974513,0.3127375543117523,0.36231884360313416,0.002022817265242338,0.09882195293903351,0.7901054620742798,0.3143026828765869,0.0,0.0
10,0.11237964779138565,0.7771392464637756,0.0010000000474974513,0.3126792907714844,0.3880126178264618,0.0019904524087905884,0.09821156412363052,0.7881780862808228,0.3153456747531891,0.0,0.0
11,0.1096903532743454,0.7784401178359985,0.0010000000474974513,0.31256213784217834,0.4457547068595886,0.003058499889448285,0.0989440307021141,0.760615885257721,0.31742095947265625,0.0,0.0
12,0.11262066662311554,0.7797535061836243,0.0010000000474974513,0.3124219477176666,0.36627906560897827,0.0020389999262988567,0.0989440307021141,0.7617979049682617,0.3170386552810669,0.0,0.0
13,0.10866283625364304,0.7808266282081604,0.0010000000474974513,0.31243306398391724,0.3754512667655945,0.0016829840606078506,0.09869987517595291,0.7664240002632141,0.31635552644729614,0.0,0.0
14,0.10486990958452225,0.7819152474403381,0.0010000000474974513,0.3122965097427368,0.44043320417404175,0.00197426974773407,0.0989440307021141,0.7921926379203796,0.3134457767009735,0.0,0.0
